City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,lorengau,-2.0226,147.2712,27.8,75,60,2.02,PG,1737842492
108,hawaiian paradise park,19.5933,-154.9731,23.83,91,75,2.06,US,1737842494
109,ust-nera,64.5667,143.2,-29.22,100,96,2.37,RU,1737842495
110,monte patria,-30.6919,-70.9467,28.12,31,0,3.34,CL,1737842496
111,carnarvon,-24.8667,113.6333,24.7,78,6,8.76,AU,1737842497
112,colonia,50.9333,6.95,7.76,91,75,2.57,DE,1737842498
113,qaqortoq,60.7167,-46.0333,-16.52,74,47,3.43,GL,1737842500
114,sao joao da barra,-21.6403,-41.0511,28.05,87,95,7.08,BR,1737842501
115,sweetwater,25.7634,-80.3731,21.12,63,40,7.2,US,1737842504
116,grytviken,-54.2811,-36.5092,7.23,70,100,1.71,GS,1737842506
117,puerto ayora,-0.7393,-90.3518,25.86,92,15,2.24,EC,1737842507
118,monrovia,6.3005,-10.7969,26.58,83,97,3.28,LR,1737842342
119,dudinka,69.4058,86.1778,-35.44,100,23,1.46,RU,1737842509
120,miquelon,47.0975,-56.3814,-1.28,64,100,10.77,PM,1737842510
121,nar'yan-mar,67.6713,53.087,-11.32,93,98,5.45,RU,1737842512
122,tuy hoa,13.0833,109.3,21.05,94,100,2.12,VN,1737842513
123,lihue,21.9789,-159.3672,24.3,72,9,4.03,US,1737842514
124,livani,56.3543,26.1758,4.91,81,100,5.02,LV,1737842515
125,pisco,-13.7,-76.2167,21.03,88,0,3.6,PE,1737842518
126,bonthe,7.5264,-12.505,25.85,81,27,2.98,SL,1737842519
127,cartagena,10.3997,-75.5144,31.79,58,20,6.17,CO,1737842520
128,udachny,66.4167,112.4,-41.1,100,98,1.64,RU,1737842521
129,aiken,33.5835,-81.5998,11.33,33,0,3.6,US,1737842522
130,hithadhoo,-0.6,73.0833,27.75,76,76,4.44,MV,1737842524
131,darhan,49.4867,105.9228,-30.61,99,57,1.87,MN,1737842525
132,piti village,13.4626,144.6933,26.84,88,8,3.0,GU,1737842526
133,kuruman,-27.4524,23.4325,26.48,27,3,5.2,ZA,1737842527
134,kingston,17.997,-76.7936,30.53,62,20,4.12,JM,1737842528
135,susuman,62.7833,148.1667,-41.13,99,69,0.16,RU,1737842530
136,punta arenas,-53.15,-70.9167,13.06,62,0,4.12,CL,1737842531
137,tsiombe,-25.3,45.4833,23.99,95,100,3.33,MG,1737842532
138,bonito,-21.1211,-56.4819,30.08,54,85,1.82,BR,1737842533
